xrate,date
100.2879,2022-01-01
100.2847,2022-01-02
99.9889,2022-01-03
98.7464,2022-01-04
102.0486,2022-01-05
99.9908,2022-01-06
99.9822,2022-01-07
99.4832,2022-01-08
99.478,2022-01-09
101.6558,2022-01-10
103.3205,2022-01-11
101.4311,2022-01-12
101.4759,2022-01-13
103.658,2022-01-14
103.658,2022-01-15
103.6391,2022-01-16
102.5914,2022-01-17
100.8741,2022-01-18
100.8976,2022-01-19
102.2885,2022-01-20
102.3013,2022-01-21
102.3013,2022-01-22
102.292,2022-01-23
102.9288,2022-01-24
102.8878,2022-01-25
102.9089,2022-01-26
102.8669,2022-01-27
102.6097,2022-01-28
102.6119,2022-01-29
102.5042,2022-01-30
102.0225,2022-01-31
101.5939,2022-02-01
101.5813,2022-02-02
101.4758,2022-02-03
101.5894,2022-02-04
101.5912,2022-02-05
101.6036,2022-02-06
103.194,2022-02-07
103.2158,2022-02-08
103.2167,2022-02-09
103.2519,2022-02-10
102.2508,2022-02-11
102.6431,2022-02-12
102.6303,2022-02-13
101.6581,2022-02-14
101.5937,2022-02-15
103.3765,2022-02-16
103.2962,2022-02-17
102.8092,2022-02-18
102.8092,2022-02-19
102.8197,2022-02-20
103.8754,2022-02-21
103.9085,2022-02-22
104.0656,2022-02-23
104.102,2022-02-24
103.9545,2022-02-25
103.4236,2022-02-26
103.3814,2022-02-27
104.6915,2022-02-28
104.577,2022-03-01
104.6207,2022-03-02
104.8171,2022-03-03
105.1426,2022-03-04
105.1426,2022-03-05
105.1628,2022-03-06
104.4219,2022-03-07
105.7712,2022-03-08
105.9065,2022-03-09
106.525,2022-03-10
106.4082,2022-03-11
106.4052,2022-03-12
106.4067,2022-03-13
103.9713,2022-03-14
105.2946,2022-03-15
105.7359,2022-03-16
104.4088,2022-03-17
105.4327,2022-03-18
105.4327,2022-03-19
105.4661,2022-03-20
104.9699,2022-03-21
104.711,2022-03-22
105.716,2022-03-23
105.2553,2022-03-24
105.2471,2022-03-25
105.5008,2022-03-26
105.5107,2022-03-27
106.4713,2022-03-28
106.4421,2022-03-29
105.996,2022-03-30
106.4039,2022-03-31
106.5673,2022-04-01
106.698,2022-04-02
106.6928,2022-04-03
104.8918,2022-04-04
105.9789,2022-04-05
107.4859,2022-04-06
107.4943,2022-04-07
107.8213,2022-04-08
107.8213,2022-04-09
109.0406,2022-04-10
109.598,2022-04-11
109.03,2022-04-12
107.9621,2022-04-13
108.5304,2022-04-14
109.4618,2022-04-15
109.4618,2022-04-16
109.4325,2022-04-17
109.5414,2022-04-18
108.5331,2022-04-19
108.9871,2022-04-20
110.0975,2022-04-21
108.9352,2022-04-22
109.299,2022-04-23
109.3234,2022-04-24
108.9834,2022-04-25
109.1092,2022-04-26
109.0771,2022-04-27
109.757,2022-04-28
